Error message,Error Package,File
packet has no gateway address,pkg/gatewayserver/io/udp:no_address,firewall.go
packet has no gateway EUI,pkg/gatewayserver/io/udp:no_eui,firewall.go
gateway traffic exceeded allowed rate,pkg/gatewayserver/io/udp:rate_exceeded,firewall_ratelimit.go
internal server error,pkg/gatewayserver/io/udp:udp_frontend_recovered,udp.go
empty gateway EUI,pkg/gatewayserver/io/ws/lbslns:empty_gateway_eui,discover.go
invalid join-request message received,pkg/gatewayserver/io/ws/lbslns:join_request_message,upstream.go
no clock sync,pkg/gatewayserver/io/ws/lbslns:no_clock_sync,downstream.go
not supported,pkg/gatewayserver/io/ws/lbslns:not_supported,messages.go
session state not found,pkg/gatewayserver/io/ws/lbslns:session_state_not_found,format.go
invalid uplink data frame received,pkg/gatewayserver/io/ws/lbslns:uplink_data_Frame,upstream.go
invalid uplink message received,pkg/gatewayserver/io/ws/lbslns:uplink_message,upstream.go
data rate not found,pkg/gatewayserver/io/ws/util:data_rate,util.go
data rate index is out of range,pkg/gatewayserver/io/ws/util:data_rate_index,util.go
invalid uid `{uid}`,pkg/gatewayserver/io/ws/util:uid,util.go
invalid gateway ID `{id}`,pkg/gatewayserver/io/ws:invalid_gateway_id,ws.go
no auth provided `{uid}`,pkg/gatewayserver/io/ws:no_auth_provided,ws.go
buffer is full,pkg/gatewayserver/io:buffer_full,io.go
no data rate with index `{index}`,pkg/gatewayserver/io:data_rate,io.go
invalid downlink path,pkg/gatewayserver/io:downlink_path,io.go
frequency plan `{id}` is not configured for this gateway,pkg/gatewayserver/io:frequency_plan_not_configured,io.go
frequency plans must be from the same band,pkg/gatewayserver/io:frequency_plans_not_from_same_band,io.go
inconsistent frequency plans configuration,pkg/gatewayserver/io:inconsistent_frequency_plans,io.go
no absolute time provided for class B downlink,pkg/gatewayserver/io:no_absolute_time,io.go
no frequency plan ID in tx request,pkg/gatewayserver/io:no_frequency_plan_id_in_tx_request,io.go
gateway time is not GPS synchronized,pkg/gatewayserver/io:no_gps_sync,io.go
no Rx delay provided for class A downlink,pkg/gatewayserver/io:no_rx_delay,io.go
no uplink token provided for class A downlink,pkg/gatewayserver/io:no_uplink_token,io.go
downlink not allowed,pkg/gatewayserver/io:not_allowed,io.go
downlink message is not a Tx request,pkg/gatewayserver/io:not_tx_request,io.go
settings empty,pkg/gatewayserver/io:rx_empty,io.go
schedule in Rx window `{window}` failed,pkg/gatewayserver/io:rx_window_schedule,io.go
the payload length `{payload_length}` exceeds maximum `{maximum_length}` at data rate index `{data_rate_index}`,pkg/gatewayserver/io:too_long,io.go
failed to schedule,pkg/gatewayserver/io:tx_schedule,io.go
scheduling conflict,pkg/gatewayserver/scheduling:conflict,scheduler.go
utilization `{used}%` would be higher than the available `{usable}%` for priority `{priority}`,pkg/gatewayserver/scheduling:duty_cycle,sub_band.go
packet exceeds dwell time restriction,pkg/gatewayserver/scheduling:dwell_time,scheduler.go
frequency plans must not have overlapping sub bands,pkg/gatewayserver/scheduling:frequency_plans_overlap_sub_band,scheduler.go
frequency plans must have the same time off air value,pkg/gatewayserver/scheduling:frequency_plans_time_off_air,scheduler.go
no absolute gateway time,pkg/gatewayserver/scheduling:no_absolute_gateway_time,scheduler.go
no clock sync,pkg/gatewayserver/scheduling:no_clock_sync,scheduler.go
no server time,pkg/gatewayserver/scheduling:no_server_time,scheduler.go
sub-band not found for frequency `{frequency}` Hz,pkg/gatewayserver/scheduling:sub_band_not_found,scheduler.go
too late to transmission scheduled time (delta is `{delta}`),pkg/gatewayserver/scheduling:too_late,scheduler.go
Network Server not found,pkg/gatewayserver/upstream/ns:network_server_not_found,ns.go
Packet Broker Agent not found,pkg/gatewayserver/upstream/packetbroker:packet_broker_agent_not_found,packetbroker.go
